Summer period,,,
Time from,Time to,Heat Demand,Electricity Price
14/08/2024 06:00,14/08/2024 07:00,1.60,926.63
14/08/2024 07:00,14/08/2024 08:00,1.68,940.43
14/08/2024 08:00,14/08/2024 09:00,1.80,907.13
14/08/2024 09:00,14/08/2024 10:00,1.78,788.25
14/08/2024 10:00,14/08/2024 11:00,1.83,686.78
14/08/2024 11:00,14/08/2024 12:00,1.92,489.38
14/08/2024 12:00,14/08/2024 13:00,1.93,422.85
14/08/2024 13:00,14/08/2024 14:00,1.91,347.93
14/08/2024 14:00,14/08/2024 15:00,1.72,355.43
14/08/2024 15:00,14/08/2024 16:00,1.64,434.10
14/08/2024 16:00,14/08/2024 17:00,1.59,510.00
14/08/2024 17:00,14/08/2024 18:00,1.53,698.40
14/08/2024 18:00,14/08/2024 19:00,1.61,855.00
14/08/2024 19:00,14/08/2024 20:00,1.69,1061.63
14/08/2024 20:00,14/08/2024 21:00,1.65,1200.15
14/08/2024 21:00,14/08/2024 22:00,1.62,1005.68
14/08/2024 22:00,14/08/2024 23:00,1.56,892.50
14/08/2024 23:00,15/08/2024 00:00,1.62,772.73
15/08/2024 00:00,15/08/2024 01:00,1.70,738.53
15/08/2024 01:00,15/08/2024 02:00,1.66,682.50
15/08/2024 02:00,15/08/2024 03:00,1.62,675.00
15/08/2024 03:00,15/08/2024 04:00,1.55,615.68
15/08/2024 04:00,15/08/2024 05:00,1.58,580.50
15/08/2024 05:00,15/08/2024 06:00,1.61,570.00
15/08/2024 06:00,15/08/2024 07:00,1.66,661.65
15/08/2024 07:00,15/08/2024 08:00,1.75,865.50
15/08/2024 08:00,15/08/2024 09:00,1.78,900.00
15/08/2024 09:00,15/08/2024 10:00,1.76,767.48
15/08/2024 10:00,15/08/2024 11:00,1.76,622.50
15/08/2024 11:00,15/08/2024 12:00,1.94,380.78
15/08/2024 12:00,15/08/2024 13:00,1.86,119.03
15/08/2024 13:00,15/08/2024 14:00,1.79,96.90
15/08/2024 14:00,15/08/2024 15:00,1.62,144.98
15/08/2024 15:00,15/08/2024 16:00,1.55,202.73
15/08/2024 16:00,15/08/2024 17:00,1.55,221.18
15/08/2024 17:00,15/08/2024 18:00,1.53,328.65
15/08/2024 18:00,15/08/2024 19:00,1.56,375.45
15/08/2024 19:00,15/08/2024 20:00,1.59,601.95
15/08/2024 20:00,15/08/2024 21:00,1.61,1043.25
15/08/2024 21:00,15/08/2024 22:00,1.61,939.00
15/08/2024 22:00,15/08/2024 23:00,1.67,945.08
15/08/2024 23:00,16/08/2024 00:00,1.66,854.33
16/08/2024 00:00,16/08/2024 01:00,1.67,786.90
16/08/2024 01:00,16/08/2024 02:00,1.65,642.45
16/08/2024 02:00,16/08/2024 03:00,1.60,592.50
16/08/2024 03:00,16/08/2024 04:00,1.55,563.18
16/08/2024 04:00,16/08/2024 05:00,1.60,570.00
16/08/2024 05:00,16/08/2024 06:00,1.68,663.83
16/08/2024 06:00,16/08/2024 07:00,1.71,766.73
16/08/2024 07:00,16/08/2024 08:00,1.78,828.53
16/08/2024 08:00,16/08/2024 09:00,2.04,893.25
16/08/2024 09:00,16/08/2024 10:00,2.02,652.20
16/08/2024 10:00,16/08/2024 11:00,1.80,365.78
16/08/2024 11:00,16/08/2024 12:00,1.73,356.93
16/08/2024 12:00,16/08/2024 13:00,1.72,370.43
16/08/2024 13:00,16/08/2024 14:00,1.62,348.75
16/08/2024 14:00,16/08/2024 15:00,1.62,348.75
16/08/2024 15:00,16/08/2024 16:00,1.67,350.63
16/08/2024 16:00,16/08/2024 17:00,1.61,338.03
16/08/2024 17:00,16/08/2024 18:00,1.65,351.98
16/08/2024 18:00,16/08/2024 19:00,1.65,417.68
16/08/2024 19:00,16/08/2024 20:00,1.67,867.23
16/08/2024 20:00,16/08/2024 21:00,1.68,981.45
16/08/2024 21:00,16/08/2024 22:00,1.62,1034.18
16/08/2024 22:00,16/08/2024 23:00,1.61,972.53
16/08/2024 23:00,17/08/2024 00:00,1.70,882.90
17/08/2024 00:00,17/08/2024 01:00,1.71,757.50
17/08/2024 01:00,17/08/2024 02:00,1.75,722.70
17/08/2024 02:00,17/08/2024 03:00,1.66,634.13
17/08/2024 03:00,17/08/2024 04:00,1.64,626.85
17/08/2024 04:00,17/08/2024 05:00,1.70,700.13
17/08/2024 05:00,17/08/2024 06:00,1.78,745.13
17/08/2024 06:00,17/08/2024 07:00,1.80,855.00
17/08/2024 07:00,17/08/2024 08:00,1.78,855.00
17/08/2024 08:00,17/08/2024 09:00,1.82,778.20
17/08/2024 09:00,17/08/2024 10:00,1.90,638.03
17/08/2024 10:00,17/08/2024 11:00,1.86,597.83
17/08/2024 11:00,17/08/2024 12:00,1.88,572.93
17/08/2024 12:00,17/08/2024 13:00,1.83,553.50
17/08/2024 13:00,17/08/2024 14:00,1.76,523.88
17/08/2024 14:00,17/08/2024 15:00,1.63,563.48
17/08/2024 15:00,17/08/2024 16:00,1.57,582.75
17/08/2024 16:00,17/08/2024 17:00,1.55,581.63
17/08/2024 17:00,17/08/2024 18:00,1.54,730.95
17/08/2024 18:00,17/08/2024 19:00,1.56,864.38
17/08/2024 19:00,17/08/2024 20:00,1.56,1051.43
17/08/2024 20:00,17/08/2024 21:00,1.59,1049.40
17/08/2024 21:00,17/08/2024 22:00,1.57,929.40
17/08/2024 22:00,17/08/2024 23:00,1.55,714.38
17/08/2024 23:00,18/08/2024 00:00,1.62,607.05
18/08/2024 00:00,18/08/2024 01:00,1.79,752.03
18/08/2024 01:00,18/08/2024 02:00,1.85,691.05
18/08/2024 02:00,18/08/2024 03:00,1.76,674.78
18/08/2024 03:00,18/08/2024 04:00,1.67,652.95
18/08/2024 04:00,18/08/2024 05:00,1.73,666.30
18/08/2024 05:00,18/08/2024 06:00,1.79,654.60
18/08/2024 06:00,18/08/2024 07:00,1.82,637.05
18/08/2024 07:00,18/08/2024 08:00,1.81,639.45
18/08/2024 08:00,18/08/2024 09:00,1.84,628.28
18/08/2024 09:00,18/08/2024 10:00,1.88,570.30
18/08/2024 10:00,18/08/2024 11:00,2.00,456.75
18/08/2024 11:00,18/08/2024 12:00,1.86,347.40
18/08/2024 12:00,18/08/2024 13:00,1.78,264.15
18/08/2024 13:00,18/08/2024 14:00,1.60,125.33
18/08/2024 14:00,18/08/2024 15:00,1.57,125.48
18/08/2024 15:00,18/08/2024 16:00,1.55,300.00
18/08/2024 16:00,18/08/2024 17:00,1.57,456.75
18/08/2024 17:00,18/08/2024 18:00,1.53,625.50
18/08/2024 18:00,18/08/2024 19:00,1.52,804.75
18/08/2024 19:00,18/08/2024 20:00,1.50,907.50
18/08/2024 20:00,18/08/2024 21:00,1.50,965.70
18/08/2024 21:00,18/08/2024 22:00,1.48,996.45
18/08/2024 22:00,18/08/2024 23:00,1.51,972.90
18/08/2024 23:00,19/08/2024 00:00,1.55,869.40
19/08/2024 00:00,19/08/2024 01:00,1.54,820.80
19/08/2024 01:00,19/08/2024 02:00,1.47,763.05
19/08/2024 02:00,19/08/2024 03:00,1.41,763.65
19/08/2024 03:00,19/08/2024 04:00,1.43,715.80
19/08/2024 04:00,19/08/2024 05:00,1.43,718.43
19/08/2024 05:00,19/08/2024 06:00,1.45,726.90
19/08/2024 06:00,19/08/2024 07:00,1.47,710.10
19/08/2024 07:00,19/08/2024 08:00,1.50,684.00
19/08/2024 08:00,19/08/2024 09:00,1.62,646.80
19/08/2024 09:00,19/08/2024 10:00,1.70,578.33
19/08/2024 10:00,19/08/2024 11:00,1.74,450.90
19/08/2024 11:00,19/08/2024 12:00,1.68,375.90
19/08/2024 12:00,19/08/2024 13:00,1.58,342.68
19/08/2024 13:00,19/08/2024 14:00,1.45,277.43
19/08/2024 14:00,19/08/2024 15:00,1.43,336.38
19/08/2024 15:00,19/08/2024 16:00,1.42,413.63
19/08/2024 16:00,19/08/2024 17:00,1.47,547.35
19/08/2024 17:00,19/08/2024 18:00,1.46,618.00
19/08/2024 18:00,19/08/2024 19:00,1.50,783.08
19/08/2024 19:00,19/08/2024 20:00,1.50,916.58
19/08/2024 20:00,19/08/2024 21:00,1.44,990.00
19/08/2024 21:00,19/08/2024 22:00,1.45,1005.75
19/08/2024 22:00,19/08/2024 23:00,1.44,990.90
19/08/2024 23:00,20/08/2024 00:00,1.47,897.00
20/08/2024 00:00,20/08/2024 01:00,1.40,843.68
20/08/2024 01:00,20/08/2024 02:00,1.32,765.00
20/08/2024 02:00,20/08/2024 03:00,1.28,707.25
20/08/2024 03:00,20/08/2024 04:00,1.33,689.55
20/08/2024 04:00,20/08/2024 05:00,1.35,699.83
20/08/2024 05:00,20/08/2024 06:00,1.35,788.55
20/08/2024 06:00,20/08/2024 07:00,1.42,912.53
20/08/2024 07:00,20/08/2024 08:00,1.49,995.85
20/08/2024 08:00,20/08/2024 09:00,1.55,1007.03
20/08/2024 09:00,20/08/2024 10:00,1.58,884.63
20/08/2024 10:00,20/08/2024 11:00,1.68,789.60
20/08/2024 11:00,20/08/2024 12:00,1.73,712.43
20/08/2024 12:00,20/08/2024 13:00,1.68,669.23
20/08/2024 13:00,20/08/2024 14:00,1.62,601.20
20/08/2024 14:00,20/08/2024 15:00,1.51,483.53
20/08/2024 15:00,20/08/2024 16:00,1.53,463.58
20/08/2024 16:00,20/08/2024 17:00,1.46,472.05
20/08/2024 17:00,20/08/2024 18:00,1.51,602.70
20/08/2024 18:00,20/08/2024 19:00,1.55,914.78
20/08/2024 19:00,20/08/2024 20:00,1.53,1241.18
20/08/2024 20:00,20/08/2024 21:00,1.50,1319.18
20/08/2024 21:00,20/08/2024 22:00,1.49,1350.53
20/08/2024 22:00,20/08/2024 23:00,1.47,1221.90
20/08/2024 23:00,21/08/2024 00:00,1.57,1002.75
21/08/2024 00:00,21/08/2024 01:00,1.53,933.08
21/08/2024 01:00,21/08/2024 02:00,1.54,868.05
21/08/2024 02:00,21/08/2024 03:00,1.42,789.68
21/08/2024 03:00,21/08/2024 04:00,1.46,755.10
21/08/2024 04:00,21/08/2024 05:00,1.48,747.75
21/08/2024 05:00,21/08/2024 06:00,1.56,845.55
21/08/2024 06:00,21/08/2024 07:00,1.60,926.63
21/08/2024 07:00,21/08/2024 08:00,1.68,940.43
21/08/2024 08:00,21/08/2024 09:00,1.80,907.13
21/08/2024 09:00,21/08/2024 10:00,1.78,788.25
21/08/2024 10:00,21/08/2024 11:00,1.83,686.78
21/08/2024 11:00,21/08/2024 12:00,1.92,489.38
21/08/2024 12:00,21/08/2024 13:00,1.93,422.85
21/08/2024 13:00,21/08/2024 14:00,1.91,347.93
21/08/2024 14:00,21/08/2024 15:00,1.72,355.43
21/08/2024 15:00,21/08/2024 16:00,1.64,434.10
21/08/2024 16:00,21/08/2024 17:00,1.59,510.00
21/08/2024 17:00,21/08/2024 18:00,1.53,698.40
21/08/2024 18:00,21/08/2024 19:00,1.61,855.00
21/08/2024 19:00,21/08/2024 20:00,1.69,1061.63
21/08/2024 20:00,21/08/2024 21:00,1.65,1200.15
21/08/2024 21:00,21/08/2024 22:00,1.62,1005.68
21/08/2024 22:00,21/08/2024 23:00,1.56,892.50
21/08/2024 23:00,22/08/2024 00:00,1.62,772.73
22/08/2024 00:00,22/08/2024 01:00,1.70,738.53
22/08/2024 01:00,22/08/2024 02:00,1.66,682.50
22/08/2024 02:00,22/08/2024 03:00,1.62,675.00
22/08/2024 03:00,22/08/2024 04:00,1.55,615.68
22/08/2024 04:00,22/08/2024 05:00,1.58,580.50
22/08/2024 05:00,22/08/2024 06:00,1.61,570.00
22/08/2024 06:00,22/08/2024 07:00,1.66,661.65
22/08/2024 07:00,22/08/2024 08:00,1.75,865.50
22/08/2024 08:00,22/08/2024 09:00,1.78,900.00
22/08/2024 09:00,22/08/2024 10:00,1.76,767.48
22/08/2024 10:00,22/08/2024 11:00,1.76,622.50
22/08/2024 11:00,22/08/2024 12:00,1.94,380.78
22/08/2024 12:00,22/08/2024 13:00,1.86,119.03
22/08/2024 13:00,22/08/2024 14:00,1.79,96.90
22/08/2024 14:00,22/08/2024 15:00,1.62,144.98
22/08/2024 15:00,22/08/2024 16:00,1.55,202.73
22/08/2024 16:00,22/08/2024 17:00,1.55,221.18
22/08/2024 17:00,22/08/2024 18:00,1.53,328.65
22/08/2024 18:00,22/08/2024 19:00,1.56,375.45
22/08/2024 19:00,22/08/2024 20:00,1.59,601.95
22/08/2024 20:00,22/08/2024 21:00,1.61,1043.25
22/08/2024 21:00,22/08/2024 22:00,1.61,939.00
22/08/2024 22:00,22/08/2024 23:00,1.67,945.08
22/08/2024 23:00,23/08/2024 00:00,1.66,854.33
23/08/2024 00:00,23/08/2024 01:00,1.67,786.90
23/08/2024 01:00,23/08/2024 02:00,1.65,642.45
23/08/2024 02:00,23/08/2024 03:00,1.60,592.50
23/08/2024 03:00,23/08/2024 04:00,1.55,563.18
23/08/2024 04:00,23/08/2024 05:00,1.60,570.00
23/08/2024 05:00,23/08/2024 06:00,1.68,663.83
23/08/2024 06:00,23/08/2024 07:00,1.71,766.73
23/08/2024 07:00,23/08/2024 08:00,1.78,828.53
23/08/2024 08:00,23/08/2024 09:00,2.04,893.25
23/08/2024 09:00,23/08/2024 10:00,2.02,652.20
23/08/2024 10:00,23/08/2024 11:00,1.80,365.78
23/08/2024 11:00,23/08/2024 12:00,1.73,356.93
23/08/2024 12:00,23/08/2024 13:00,1.72,370.43
23/08/2024 13:00,23/08/2024 14:00,1.62,348.75
23/08/2024 14:00,23/08/2024 15:00,1.62,348.75
23/08/2024 15:00,23/08/2024 16:00,1.67,350.63
23/08/2024 16:00,23/08/2024 17:00,1.61,338.03
23/08/2024 17:00,23/08/2024 18:00,1.65,351.98
23/08/2024 18:00,23/08/2024 19:00,1.65,417.68
23/08/2024 19:00,23/08/2024 20:00,1.67,867.23
23/08/2024 20:00,23/08/2024 21:00,1.68,981.45
23/08/2024 21:00,23/08/2024 22:00,1.62,1034.18
23/08/2024 22:00,23/08/2024 23:00,1.61,972.53
23/08/2024 23:00,24/08/2024 00:00,1.70,882.90
24/08/2024 00:00,24/08/2024 01:00,1.71,757.50
24/08/2024 01:00,24/08/2024 02:00,1.75,722.70
24/08/2024 02:00,24/08/2024 03:00,1.66,634.13
24/08/2024 03:00,24/08/2024 04:00,1.64,626.85
24/08/2024 04:00,24/08/2024 05:00,1.70,700.13
24/08/2024 05:00,24/08/2024 06:00,1.78,745.13
24/08/2024 06:00,24/08/2024 07:00,1.80,855.00
24/08/2024 07:00,24/08/2024 08:00,1.78,855.00
24/08/2024 08:00,24/08/2024 09:00,1.82,778.20
24/08/2024 09:00,24/08/2024 10:00,1.90,638.03
24/08/2024 10:00,24/08/2024 11:00,1.86,597.83
24/08/2024 11:00,24/08/2024 12:00,1.88,572.93
24/08/2024 12:00,24/08/2024 13:00,1.83,553.50
24/08/2024 13:00,24/08/2024 14:00,1.76,523.88
24/08/2024 14:00,24/08/2024 15:00,1.63,563.48
24/08/2024 15:00,24/08/2024 16:00,1.57,582.75
24/08/2024 16:00,24/08/2024 17:00,1.55,581.63
24/08/2024 17:00,24/08/2024 18:00,1.54,730.95
24/08/2024 18:00,24/08/2024 19:00,1.56,864.38
24/08/2024 19:00,24/08/2024 20:00,1.56,1051.43
24/08/2024 20:00,24/08/2024 21:00,1.59,1049.40
24/08/2024 21:00,24/08/2024 22:00,1.57,929.40
24/08/2024 22:00,24/08/2024 23:00,1.55,714.38
24/08/2024 23:00,25/08/2024 00:00,1.62,607.05
